DATE,PCPI48001,PCPI48003,PCPI48021,PCPI48201,PCPI48203,PCPI48205,PCPI48207,PCPI48209,PCPI48211,PCPI48213,PCPI48215,PCPI48217
1969-01-01,2629,4011,2644,4052,3013,5805,2701,2401,4528,2586,1809,2641
1970-01-01,2918,3887,2784,4392,2982,5004,3471,2768,4018,2882,1989,3372
1971-01-01,3038,4356,3123,4677,3088,5261,3523,3081,4067,3118,2216,3605
1972-01-01,3138,3892,3436,5067,3329,6804,3915,3223,5204,3422,2342,3970
1973-01-01,3642,4793,3773,5568,3773,6246,5122,3422,6279,3731,2632,4658
1974-01-01,4159,5562,4234,6372,4334,4733,3720,3730,4436,4302,3001,4494
1975-01-01,4728,6203,4651,7214,4865,8971,4274,4377,5784,4661,3316,4826
1976-01-01,5062,6947,5278,7900,5336,8399,5549,5027,5985,5262,3628,5303
1977-01-01,5457,7931,5608,8700,5805,9077,7480,5362,8322,5690,4063,5450
1978-01-01,5993,8382,6543,9917,6693,7810,6626,6017,7419,6452,4454,6222
1979-01-01,6527,9011,7202,11139,7293,7324,10391,6708,7908,7178,4817,6879
1980-01-01,7426,9786,7924,12467,8274,10336,7830,7399,8558,8148,5412,7274
1981-01-01,8623,12405,9054,14227,9387,12251,12185,8342,11124,9099,6191,8960
1982-01-01,9889,13479,9694,14913,9986,11282,11205,9435,12690,9829,6459,9563
1983-01-01,9864,13392,10377,14794,10333,17588,12235,10172,11128,10570,6617,10358
1984-01-01,10262,14090,11148,15682,10851,17245,13158,11210,13337,11475,7038,11030
1985-01-01,10548,13806,11708,16466,11495,16507,12643,11733,14631,12033,7584,11570
1986-01-01,10601,12312,11570,16160,11442,18007,12125,11592,13467,11882,7663,11947
1987-01-01,10848,12727,11601,16616,11404,18947,14105,11608,14920,11796,7803,11699
1988-01-01,11027,12643,12016,17933,12167,21780,12595,12231,15281,12303,8412,12083
1989-01-01,11706,13768,12671,19313,13170,24115,13799,13162,17986,12917,8936,12671
1990-01-01,12218,14537,13924,20794,14037,25790,15995,14052,19317,13538,9519,13090
1991-01-01,12736,14513,14698,21206,14779,29272,13646,14632,21352,14296,10075,13621
1992-01-01,13406,15312,15435,22419,16033,32464,16440,16001,25628,15356,10634,14670
1993-01-01,13628,16119,16195,23039,16115,35812,16368,17174,25434,15937,10928,15067
1994-01-01,14395,16501,16743,23500,16708,29343,16173,17775,24512,16896,11331,15600
1995-01-01,14742,16765,17699,24908,17252,24387,16406,18670,23544,17384,11578,16249
1996-01-01,15417,17313,18110,26721,17966,22101,17696,19402,24050,18419,12088,17059
1997-01-01,15985,18555,19138,29100,19162,25449,19605,20601,30306,19640,12672,18350
1998-01-01,16786,18344,20108,31311,20513,29308,17638,21386,32448,20425,13174,18464
1999-01-01,16930,18519,21579,32006,21168,30740,20178,22589,31991,22070,13349,19672
2000-01-01,18039,20565,22660,34324,21874,31426,19452,23486,33508,23084,14141,19829
2001-01-01,18990,23225,23402,35109,21947,30873,23573,25061,34573,23843,14819,20714
2002-01-01,19158,23002,23168,33892,23492,32155,22924,24339,32102,24069,15493,21018
2003-01-01,19316,24901,23352,34832,24422,28717,26258,24681,35702,24385,16148,21659
2004-01-01,19918,26471,23642,37217,25597,25422,27403,25623,33952,24246,16962,22898
2005-01-01,20869,29118,24904,39931,27682,29454,27800,28075,40914,25245,17885,23632
2006-01-01,22221,32839,25994,43180,29902,27823,26323,30831,47650,26179,18730,24882
2007-01-01,23954,34943,27359,44648,31183,27339,29716,31884,49162,27799,19435,27203
2008-01-01,25892,39904,28358,48570,35381,29632,29710,33659,59732,29604,20443,28645
2009-01-01,25257,34075,27923,43903,32713,26714,27933,32296,44853,29359,21103,28880
2010-01-01,26712,36375,28630,45747,34970,36638,31492,33116,48003,30315,21927,30470
2011-01-01,28152,42705,29294,48984,37277,53697,31981,35057,63789,32267,22704,30940
2012-01-01,29556,48099,30457,53015,38746,51524,33063,34534,75154,33547,23130,32136
2013-01-01,29932,50335,30747,51636,38178,52777,36319,35076,81765,34775,23639,33582
2014-01-01,30999,53997,32033,54493,40461,68329,36032,37423,95557,36032,24347,35578
2015-01-01,32089,45542,33622,53850,40447,97786,34967,39419,73421,36560,25013,37212
2016-01-01,32989,40546,33753,50678,39155,69188,32637,40517,57250,36797,25290,37253
2017-01-01,32759,45435,35202,54325,40159,76545,34904,41725,56478,38227,25712,38181
2018-01-01,34363,50776,36676,58235,41515,71979,37407,43395,55367,38743,26615,40129
2019-01-01,36027,51769,38289,60002,42891,81238,39899,45332,57053,40135,27415,41240
